Sol ID,Live Count,Amt
2381,21,Aug'16
3340,36,Aug'16
3343,76,Aug'16
3342,23,Aug'16
3341,18,Aug'16
3297,24,Aug'16
3708,49,Aug'16
2485,17,Aug'16
2476,6,Aug'16
2518,5,Aug'16
0712,297,Aug'16
1975,202,Aug'16
1772,105,Aug'16
0175,327,Aug'16
0292,229,Aug'16
1149,102,Aug'16
1150,288,Aug'16
1151,142,Aug'16
1152,136,Aug'16
6350,63,Aug'16
1947,87,Aug'16
2519,73,Aug'16
2520,25,Aug'16
2605,33,Aug'16
3347,49,Aug'16
2514,15,Aug'16
1335,435,Aug'16
2439,139,Aug'16
1811,78,Aug'16
1336,372,Aug'16
2406,80,Aug'16
2604,49,Aug'16
0925,403,Aug'16
2431,57,Aug'16
1773,86,Aug'16
1337,412,Aug'16
1338,241,Aug'16
1339,415,Aug'16
0711,275,Aug'16
0634,248,Aug'16
1849,201,Aug'16
2572,17,Aug'16
2608,55,Aug'16
2558,140,Aug'16
2573,105,Aug'16
2584,38,Aug'16
3699,73,Aug'16
3706,9,Aug'16
0089,472,Aug'16
0605,212,Aug'16
1412,166,Aug'16
1657,88,Aug'16
2473,45,Aug'16
2474,192,Aug'16
2495,21,Aug'16
2563,13,Aug'16
3884,12,Aug'16
0772,3,Aug'16
0838,117,Aug'16
0708,203,Aug'16
3251,9,Aug'16
0619,640,Aug'16
2524,61,Aug'16
3290,96,Aug'16
2172,13,Aug'16
0670,859,Aug'16
1609,626,Aug'16
0896,1418,Aug'16
2050,608,Aug'16
0208,115,Aug'16
0981,58,Aug'16
1929,60,Aug'16
2002,8,Aug'16
6354,13,Aug'16
6953,59,Aug'16
1930,85,Aug'16
3332,18,Aug'16
1321,718,Aug'16
1322,121,Aug'16
0213,245,Aug'16
0839,347,Aug'16
1995,253,Aug'16
2440,30,Aug'16
0476,22,Aug'16
0352,42,Aug'16
0470,35,Aug'16
1399,7,Aug'16
1764,125,Aug'16
1323,87,Aug'16
3248,47,Aug'16
2135,106,Aug'16
2643,755,Aug'16
3329,247,Aug'16
0959,1309,Aug'16
2463,753,Aug'16
2583,720,Aug'16
0960,74,Aug'16
0898,355,Aug'16
0899,147,Aug'16
2037,180,Aug'16
2550,34,Aug'16
2174,35,Aug'16
2621,94,Aug'16
0473,354,Aug'16
6646,48,Aug'16
3252,51,Aug'16
2595,11,Aug'16
0620,227,Aug'16
1799,134,Aug'16
1324,480,Aug'16
0472,1746,Aug'16
2588,132,Aug'16
2720,31,Aug'16
0527,7086,Aug'16
0902,3617,Aug'16
2015,2161,Aug'16
2019,2641,Aug'16
3331,786,Aug'16
0707,495,Aug'16
1996,164,Aug'16
2114,132,Aug'16
2154,56,Aug'16
2102,753,Aug'16
2168,291,Aug'16
0621,1408,Aug'16
2155,60,Aug'16
0709,654,Aug'16
2610,80,Aug'16
3250,54,Aug'16
2013,2178,Aug'16
2040,972,Aug'16
0923,152,Aug'16
2718,76,Aug'16
1766,26,Aug'16
6647,15,Aug'16
0536,131,Aug'16
0825,658,Aug'16
1618,379,Aug'16
2717,460,Aug'16
0636,12,Aug'16
0471,334,Aug'16
2032,283,Aug'16
2147,497,Aug'16
2167,243,Aug'16
2170,52,Aug'16
0543,166,Aug'16
1299,100,Aug'16
1989,87,Aug'16
2106,61,Aug'16
2150,83,Aug'16
2151,106,Aug'16
6343,201,Aug'16
6645,55,Aug'16
2453,159,Aug'16
2721,66,Aug'16
2454,48,Aug'16
2782,40,Aug'16
2456,28,Aug'16
3326,5,Aug'16
3324,19,Aug'16
3863,9,Aug'16
2455,12,Aug'16
2173,11,Aug'16
2617,106,Aug'16
2623,2,Aug'16
2633,6,Aug'16
2716,14,Aug'16
2719,59,Aug'16
0460,961,Aug'16
0773,703,Aug'16
2026,545,Aug'16
2565,648,Aug'16
3044,241,Aug'16
3048,108,Aug'16
3674,54,Aug'16
0525,1342,Aug'16
3676,397,Aug'16
3677,1011,Aug'16
0530,806,Aug'16
0609,2346,Aug'16
0962,5512,Aug'16
2164,2308,Aug'16
1977,130,Aug'16
3282,137,Aug'16
1085,949,Aug'16
2639,233,Aug'16
3281,280,Aug'16
0774,4521,Aug'16
3687,651,Aug'16
0282,269,Aug'16
1344,271,Aug'16
1814,249,Aug'16
2425,202,Aug'16
2426,75,Aug'16
3280,191,Aug'16
1013,1566,Aug'16
1495,364,Aug'16
1969,195,Aug'16
6342,657,Aug'16
6587,381,Aug'16
2433,226,Aug'16
2434,91,Aug'16
2435,52,Aug'16
0840,139,Aug'16
3716,70,Aug'16
0775,2113,Aug'16
2035,456,Aug'16
0186,166,Aug'16
0623,60,Aug'16
1815,145,Aug'16
1816,33,Aug'16
3284,28,Aug'16
0638,773,Aug'16
3277,530,Aug'16
3894,34,Aug'16
0270,455,Aug'16
1497,285,Aug'16
1498,988,Aug'16
2036,241,Aug'16
2419,175,Aug'16
3268,313,Aug'16
3270,183,Aug'16
0467,1021,Aug'16
0776,1485,Aug'16
2649,1089,Aug'16
3053,1742,Aug'16
3273,799,Aug'16
3274,347,Aug'16
0592,712,Aug'16
2034,1790,Aug'16
2162,904,Aug'16
2023,285,Aug'16
3266,990,Aug'16
1774,210,Aug'16
2119,548,Aug'16
0468,431,Aug'16
3679,42,Aug'16
0987,79,Aug'16
0777,604,Aug'16
0778,751,Aug'16
0639,960,Aug'16
3279,305,Aug'16
3133,78,Aug'16
0469,1105,Aug'16
0640,271,Aug'16
0779,770,Aug'16
3055,48,Aug'16
3688,391,Aug'16
0641,3307,Aug'16
1632,3071,Aug'16
2581,1100,Aug'16
3064,661,Aug'16
3261,1220,Aug'16
0353,150,Aug'16
2165,88,Aug'16
3288,93,Aug'16
2804,26,Aug'16
1625,378,Aug'16
3605,53,Aug'16
0841,379,Aug'16
0963,607,Aug'16
1502,358,Aug'16
3049,165,Aug'16
3263,249,Aug'16
0995,2450,Aug'16
1496,2596,Aug'16
3262,728,Aug'16
0780,5489,Aug'16
3258,1181,Aug'16
0875,1499,Aug'16
3686,446,Aug'16
0926,225,Aug'16
2022,369,Aug'16
3718,30,Aug'16
3722,79,Aug'16
3723,25,Aug'16
0161,150,Aug'16
1345,93,Aug'16
1346,77,Aug'16
1347,74,Aug'16
1348,85,Aug'16
1349,81,Aug'16
1817,37,Aug'16
6581,19,Aug'16
2551,62,Aug'16
2516,59,Aug'16
2515,66,Aug'16
3717,52,Aug'16
0624,161,Aug'16
0781,482,Aug'16
3057,192,Aug'16
3047,56,Aug'16
0194,187,Aug'16
2523,93,Aug'16
3675,192,Aug'16
0195,803,Aug'16
0876,1383,Aug'16
1471,891,Aug'16
1503,356,Aug'16
1891,163,Aug'16
2163,86,Aug'16
2521,139,Aug'16
3059,51,Aug'16
3060,55,Aug'16
3062,210,Aug'16
2722,62,Aug'16
0425,156,Aug'16
0061,1230,Aug'16
0284,568,Aug'16
0464,2325,Aug'16
1499,405,Aug'16
1500,484,Aug'16
1970,165,Aug'16
1971,333,Aug'16
1985,1130,Aug'16
6586,349,Aug'16
2423,104,Aug'16
2552,1278,Aug'16
2424,67,Aug'16
3259,3377,Aug'16
3685,201,Aug'16
3691,20,Aug'16
3054,43,Aug'16
3689,762,Aug'16
3690,128,Aug'16
0637,510,Aug'16
3678,294,Aug'16
3601,76,Aug'16
3683,87,Aug'16
3684,191,Aug'16
3724,77,Aug'16
3682,58,Aug'16
3052,222,Aug'16
3721,4,Aug'16
0893,1024,Aug'16
1925,123,Aug'16
0528,394,Aug'16
0895,395,Aug'16
1603,148,Aug'16
0405,136,Aug'16
0823,694,Aug'16
0897,529,Aug'16
0982,93,Aug'16
1003,104,Aug'16
1607,60,Aug'16
1608,120,Aug'16
2609,132,Aug'16
2412,46,Aug'16
2414,71,Aug'16
2420,74,Aug'16
2580,40,Aug'16
2462,25,Aug'16
1604,39,Aug'16
1605,115,Aug'16
1606,134,Aug'16
1931,126,Aug'16
6280,199,Aug'16
6948,42,Aug'16
6949,44,Aug'16
2554,81,Aug'16
2359,78,Aug'16
2542,341,Aug'16
2618,269,Aug'16
0006,70,Aug'16
0034,80,Aug'16
0042,32,Aug'16
0312,14,Aug'16
0317,50,Aug'16
0328,30,Aug'16
0349,71,Aug'16
0355,75,Aug'16
0371,29,Aug'16
0372,39,Aug'16
0392,186,Aug'16
0540,22,Aug'16
0837,60,Aug'16
0864,38,Aug'16
0900,81,Aug'16
0901,33,Aug'16
0983,115,Aug'16
1049,53,Aug'16
1064,62,Aug'16
1065,44,Aug'16
1270,33,Aug'16
1271,55,Aug'16
1272,52,Aug'16
1273,71,Aug'16
1274,16,Aug'16
1275,44,Aug'16
1276,81,Aug'16
1277,67,Aug'16
1278,44,Aug'16
1279,30,Aug'16
1281,25,Aug'16
1282,177,Aug'16
1285,1,Aug'16
1286,32,Aug'16
1287,73,Aug'16
1288,42,Aug'16
1289,29,Aug'16
1290,50,Aug'16
1292,98,Aug'16
1293,31,Aug'16
1294,381,Aug'16
1296,91,Aug'16
1300,55,Aug'16
1301,14,Aug'16
1932,42,Aug'16
2139,320,Aug'16
6275,61,Aug'16
6277,206,Aug'16
6278,59,Aug'16
6279,61,Aug'16
6952,2,Aug'16
1973,39,Aug'16
1616,11,Aug'16
2790,16,Aug'16
6946,13,Aug'16
2374,55,Aug'16
3298,40,Aug'16
3304,36,Aug'16
3314,13,Aug'16
3315,12,Aug'16
6947,28,Aug'16
3317,6,Aug'16
3318,8,Aug'16
3319,22,Aug'16
3294,17,Aug'16
3306,5,Aug'16
3295,2,Aug'16
2659,1,Aug'16
2665,1,Aug'16
2691,2,Aug'16
2705,3,Aug'16
0421,165,Aug'16
1610,80,Aug'16
1933,211,Aug'16
2562,133,Aug'16
2499,202,Aug'16
2712,795,Aug'16
3878,11,Aug'16
0824,117,Aug'16
0914,360,Aug'16
1056,13,Aug'16
1100,62,Aug'16
1103,16,Aug'16
1280,94,Aug'16
1302,58,Aug'16
1584,101,Aug'16
1611,88,Aug'16
1612,351,Aug'16
1613,156,Aug'16
1614,67,Aug'16
1617,49,Aug'16
2570,99,Aug'16
2843,61,Aug'16
2714,96,Aug'16
2478,45,Aug'16
2481,37,Aug'16
2502,44,Aug'16
6950,72,Aug'16
3307,5,Aug'16
3881,1,Aug'16
0597,269,Aug'16
0834,166,Aug'16
1615,987,Aug'16
2678,1,Aug'16
0903,816,Aug'16
1101,1074,Aug'16
2564,620,Aug'16
2171,2215,Aug'16
